title,company,location,salary_min,salary_max,posting_date,description,category,contract_type
Data Analyst Apprentice,QA,NE270QQ,24707.0,24707.0,27/03/2026,"Avanade UK Ltd is an IT consulting company that helps organisations improve their operations through technology. Specialising in Microsoft platforms, it provides services in cloud computing, data and AI, cybersecurity, and business applications, supporting clients with digital transformation and modern workplace solutions. Why join us? You will become part of an active and growing AI community Your future colleagues will help you with questions ... ",,
Wealth Management Data Analyst Manager,Grove Talent Solutions,SN151HW,28000.0,35000.0,20/04/2026,"Wealth Management Data Analyst Manager Location: Chippenham Salary: 28,000 – 35,000 An established and highly regarded financial planning firm is looking to recruit a Data Analyst to join its back-office team. The business provides bespoke advice across a wide range of case types and has built an excellent reputation with a loyal, long-standing client base. This is an excellent opportunity for a data-focused professional with strong Excel and an... ",,
Senior Data and Insight Analyst,Southwark Council,London,54360.0,61686.0,07/04/2026,"Why Southwark? Southwark Council is strengthening its use of data and evidence to inform decision making, improve services and support strategic planning. The Data, Performance and Insight team, within Strategy, Insight and Performance, leads the council’s work to develop robust corporate performance reporting and advanced data analysis. The team works closely with Members, senior officers and services to translate data into insight that support... ",,
Data Architect,Matchtech ,Harlow,,,01/04/2026,"Job Title: Data Architect Position Role Type: Hybrid Location: Harlow (Hybrid) Clearance: SC Eligible Duration: Fixed Term Contract - 12 months Hours: Full Time - 37 hours per week About the role: We are seeking an experienced Data Architect to help establish a newly created data practice within the Digital Technology function. This is a pivotal role in shaping the foundations of an enterprise-wide data capability, setting direction for data arc... ",,
Automation and AI Specialist,Qualify Nation Recruitment,London,35000.0,55000.0,02/04/2026,"At Qualify Nation Recruitment , we partner with forward-thinking organisations tackling complex, high-impact challenges across AI, cyber security, and data. We’re currently supporting a leading UK technology consultancy in hiring a Machine Learning Engineer —someone ready to move beyond theory and into real-world impact. This is an opportunity to work on cutting-edge AI solutions , contribute to meaningful projects, and grow within an environmen... ",,
Senior Data & Insights Analyst,Vitality,SK26NG,,,02/04/2026,"About The Role Team – &nbsp;Direct Sales Analytics Working Pattern - Hybrid – 2&nbsp;days per week in the Vitality Stockport Office.&nbsp;Full time, 35 hours per week.&nbsp; We are happy to discuss flexible working! Top 3 skills needed for this role: Strong analytical toolkit Operational &amp; stakeholder influence Real-time performance optimisation What this role is all about: In this role, you’ll play a key part in empowering our D2C teams wit... ",,
Data Scientist,VERTICAL AEROSPACE GROUP LTD,Bristol,,,31/03/2026,"Our Mission At Vertical Aerospace, we are pioneering the way for electric aviation. The Valo, our eVTOL (electric, vertical, take-off and landing), 'zero emissions' aircraft will set a new safety standard for how we will navigate the sky. We won't realise our mission following the same legacy processes and traditions our predecessors followed, instead, we want to 'redefine' aerospace best practices. We are growing quickly from a prototype busine... ",,
Data Analyst / Civil Engineer / Geophysicists / Geoscientist,Trace Structural Investigations,WC1V7EP,30000.0,40000.0,26/03/2026,"Structural Investigation Data Analyst We are looking for a Structural Investigation Data Analyst to join our team at TRACE who has excellent technical report writing skills to deliver engineering-led insights for structural investigations and infrastructure projects. The role will involve interpreting GPR and NDT datasets. Ideally you will have GPR and NDT experience, if not we will provide training to get you up to speed. This is a fully remote... ",,
Lead Data Engineer,Canada Life,London,,,14/04/2026,"Location: London, Watford or Bristol (Hybrid working options available) The Lead Data Engineer will provide hands-on technical leadership in Azure cloud and Databricks-based solutions within our Enterprise Data Platform. The role requires strong expertise in Azure cloud services, Databricks, data engineering, and DevOps, leading a cross-functional team to build, deploy, and support high-performance data-driven solutions. The role involves: Inter... ",,
Research Analyst,K3 Advisory Group,BL32NT,27000.0,27000.0,14/04/2026,"The Research Analyst is crucial to the overall sales process and involves identifying and directly contacting potential buyers who may be interested in purchasing our Clients' business. We use a bespoke, state of the art system to scour industry specific data, financial information, geographical indicators etc with the aim of fulfilling our Clients' approved research strategy. To be successful as a Research Analyst, you will be able to take an i... ",,
Pharmaceutical Analyst,Smart4Sciences,Cwmbran,,,16/04/2026,Are you a detail-driven scientist with a passion for analytical testing and pharmaceutical development? Smart4 Sciences are working with an established and innovative pharmaceutical services provider to recruit a Pharmaceutical Development Analyst into their Pharmaceutical Development team. The Role This is an exciting opportunity to carry out high-quality analytical testing for complex pharmaceutical products in a GMP-regulated environment. You... ,,
Risk Analyst,H&T Pawnbrokers,L304AB,40000.0,40000.0,24/03/2026,"Risk Analyst Job Title: Risk Analyst Job Type: Permanent Department: Risk &amp; Compliance Location: Liverpool Reports to: Head of Risk &amp; Compliance Direct reports: None We’re looking for a Risk Analyst to support our risk management framework by collecting and validating risk data, analysing trends, maintaining risk registers, and helping produce clear, accurate risk reports. You’ll work closely with the Risk &amp; Compliance team to suppor... ",,
